"","Rank","p.value","p.adj","avg.logfc","avg.logfc.dir","direction","significance"
"GO_REGULATION_OF_CELL_CYCLE_G2_M_PHASE_TRANSITION",416,0.000970176233517173,0.0111271675774353,1,1,"Up",12.8191981185089
"GO_RESPONSE_TO_INSULIN",417,0.000970406018645519,0.0111271675774353,1,1,"Up",12.8191981185089
"GO_CATION_TRANSPORTING_ATPASE_ACTIVITY",418,0.000970176233517173,0.0111271675774353,1,1,"Up",12.8191981185089
"GO_REGULATION_OF_EPITHELIAL_CELL_MIGRATION",419,0.000979898716169634,0.0111825108252406,1,1,"Up",12.8050594560716
"GO_NEGATIVE_REGULATION_OF_TRANSPORT",420,0.000978187910958591,0.0111825108252406,1,1,"Up",12.8050594560716
"GO_POSITIVE_REGULATION_OF_HYDROLASE_ACTIVITY",421,0.00102057529690439,0.0116190437008616,1,1,"Up",12.6959300802956
"GO_AXONEME_ASSEMBLY",422,0.00103121787462339,0.0117123869030093,1,1,"Up",12.6731277230153
"GO_NEGATIVE_REGULATION_OF_GLYCOPROTEIN_BIOSYNTHETIC_PROCESS",423,0.00104775337851465,0.0117884552657764,1,1,"Up",12.6546793418668
"GO_DEOXYRIBONUCLEOTIDE_BIOSYNTHETIC_PROCESS",424,0.00104775337851465,0.0117884552657764,1,1,"Up",12.6546793418668
"GO_PARANODE_REGION_OF_AXON",425,0.00104775337851465,0.0117884552657764,1,1,"Up",12.6546793418668
"GO_BANDED_COLLAGEN_FIBRIL",426,0.00104775337851465,0.0117884552657764,1,1,"Up",12.6546793418668
"GO_REGULATION_OF_DNA_BINDING",427,0.00105344351159388,0.0118247183865796,1,1,"Up",12.645926536728
"GO_GLIAL_CELL_DEVELOPMENT",428,0.00107001060433221,0.0119476713902312,1,1,"Up",12.6164479759933
"GO_PHOSPHOLIPID_CATABOLIC_PROCESS",429,0.00107187538030449,0.0119476713902312,1,1,"Up",12.6164479759933
"GO_PROTEIN_SERINE_THREONINE_KINASE_INHIBITOR_ACTIVITY",430,0.00107187538030449,0.0119476713902312,1,1,"Up",12.6164479759933
"GO_REGULATION_OF_MUSCLE_HYPERTROPHY",431,0.00108822590608248,0.0121017790437432,1,1,"Up",12.5799254254759
"GO_NEGATIVE_REGULATION_OF_ERK1_AND_ERK2_CASCADE",432,0.00111066875221246,0.0122943079199869,1,1,"Up",12.5349452834721
"GO_GLAND_DEVELOPMENT",433,0.00110905875483708,0.0122943079199869,1,1,"Up",12.5349452834721
"GO_POSITIVE_REGULATION_OF_CELL_CYCLE_PHASE_TRANSITION",434,0.00111563169260452,0.0123207896374503,1,1,"Up",12.5288135840606
"GO_NEGATIVE_REGULATION_OF_CELL_DIVISION",435,0.00113358638661482,0.0124902978184939,1,1,"Up",12.4898743213734
"GO_CELL_CELL_ADHESION",436,0.00115741514502255,0.0127236027295713,1,1,"Up",12.4371352664406
"GO_CELLULAR_HOMEOSTASIS",437,0.00118495390310133,0.0129706682864695,1,1,"Up",12.382329608885
"GO_PHOSPHOLIPASE_ACTIVITY",438,0.001185302046625,0.0129706682864695,1,1,"Up",12.382329608885
"GO_BLOOD_VESSEL_MORPHOGENESIS",439,0.0011940125661817,0.013036223757879,1,1,"Up",12.367962892696
"GO_TELENCEPHALON_DEVELOPMENT",440,0.0012024678143146,0.0130924618175477,1,1,"Up",12.3556955770842
"GO_PROTEIN_TYROSINE_PHOSPHATASE_ACTIVITY",441,0.00120462667672409,0.0130924618175477,1,1,"Up",12.3556955770842
"GO_NUCLEOBASE_CONTAINING_COMPOUND_TRANSPORT",442,0.00121302571817245,0.0131539191565624,1,1,"Up",12.342349881318
"GO_DETOXIFICATION",443,0.00122166170132652,0.0131901798059476,1,1,"Up",12.3345049597594
"GO_REGULATION_OF_SYSTEM_PROCESS",444,0.00122187353094946,0.0131901798059476,1,1,"Up",12.3345049597594
"GO_CALCIUM_ION_TRANSMEMBRANE_TRANSPORT",445,0.00122693121238505,0.0132150141594641,1,1,"Up",12.329144528541
"GO_INTRACELLULAR_PROTEIN_TRANSPORT",446,0.00123590464832172,0.0132419925722661,1,1,"Up",12.3233327114052
"GO_REPRODUCTIVE_SYSTEM_DEVELOPMENT",447,0.00123829229081635,0.0132419925722661,1,1,"Up",12.3233327114052
"GO_NUCLEOTIDE_EXCISION_REPAIR_DNA_GAP_FILLING",448,0.00123555600773405,0.0132419925722661,1,1,"Up",12.3233327114052
"GO_T_TUBULE",449,0.00124048709888326,0.0132419925722661,1,1,"Up",12.3233327114052
